input_study_accession	observed_number_of_edges	count_random	fdr
GCST006085	12	44	0.0412371134020619
GCST002087	1	53	0.0496719775070291
GCST000139	2	0	0
GCST004862	9	0	0
GCST002738	2	4	0.00374882849109653
GCST005536	5	1	0.000937207122774133
GCST003092	10	0	0
GCST000151	1	12	0.0112464854732896
GCST002535	2	0	0
GCST005830	17	0	0
GCST000144	1	29	0.0271790065604499
GCST002031	1	39	0.0365510777881912
GCST000207	8	0	0
GCST004750	4	15	0.014058106841612
GCST001100	6	0	0
GCST004902	7	0	0
GCST002223	17	0	0
GCST005075	1	21	0.0196813495782568
GCST000424	3	1	0.000937207122774133
GCST000132	6	0	0
GCST003522	3	0	0
GCST002068	2	0	0
GCST001571	1	1	0.000937207122774133
GCST002897	8	0	0
GCST002216	5	0	0
GCST004785	12	0	0
GCST004145	1	25	0.0234301780693533
GCST002647	29	32	0.0299906279287723
GCST002679	3	0	0
GCST001049	1	28	0.0262417994376757
GCST005992	10	17	0.0159325210871603
GCST005964	5	0	0
GCST004613	26	2	0.00187441424554827
GCST001725	46	0	0
GCST003216	1	33	0.0309278350515464
GCST005038	56	0	0
GCST003360	8	0	0
GCST002030	1	49	0.0459231490159325
GCST001938	1	7	0.00656044985941893
GCST000763	1	2	0.00187441424554827
GCST002078	1	8	0.00749765698219306
GCST000971	1	26	0.0243673851921275
GCST000282	4	0	0
GCST002562	6	0	0
GCST004625	46	0	0
GCST005580	49	2	0.00187441424554827
GCST002544	3	2	0.00187441424554827
GCST004009	1	22	0.0206185567010309
GCST000303	1	7	0.00656044985941893
GCST004617	59	0	0
GCST002073	12	0	0
GCST000584	1	1	0.000937207122774133
GCST000678	1	6	0.0056232427366448
GCST003976	5	0	0
GCST002772	3	0	0
GCST000992	3	0	0
GCST000466	2	0	0
GCST000687	6	0	0
GCST003390	5	0	0
GCST004146	9	0	0
GCST001578	3	0	0
GCST000418	2	0	0
GCST005359	1	0	0
GCST004950	6	7	0.00656044985941893
GCST004572	6	0	0
GCST001863	3	0	0
GCST003928	1	13	0.0121836925960637
GCST001260	1	0	0
GCST002083	3	0	0
